case_id,decision_group,source_path,source_sha256,input_path,input_sha256,output_path,output_sha256,ours_path,ours_sha256
block_01,block,assets/block_01_source.jpg,16764813a5f856a790a049de951230887996240e34a0897fb653a2fc3dafbf64,assets/block_01_input.jpg,f7f685039d1b1304f9f4e5b2715406c0e35e5038319978607994581f33ef27f8,assets/block_01_output.jpg,6977191a10e64356bce6c277b44bdb7288055c1d92d9c69af2e36a43f961583d,assets/block_01_ours.jpg,5d49d19ce8e37b429f31cbecce50a2640fceaef4e1de45b8df0e0cd4146aec23
block_02,block,assets/block_02_source.jpg,48774004b3f50c46175a812202b751eaf73a90ba5a93e3c99a7a644c06098d07,assets/block_02_input.jpg,35276c00248c568ef3d29763ac84604d77fe48acd4220da5bd5679b5bc2ec8e5,assets/block_02_output.jpg,df78bfab8c33ce89a5c16ade1adcfd8c10cbe2ec374b006f104b150319e2b20c,assets/block_02_ours.jpg,25945ec5d26af9955302dd07b9f54efae7abc688a4bfa88731c214189469cb7c
block_03,block,assets/block_03_source.jpg,e9ddc9a58b89f9fc901e863a711de6fdb0026a5e06a4816eb8427d166f010dc7,assets/block_03_input.jpg,0be912f99343173b465b7386290f0ccc1789b4d4d500e76ea266900b8ee79f06,assets/block_03_output.jpg,74687a790f5b83f18b3db6e71873c3f613a299d56f620ba0a7da1f62a1dd7920,assets/block_03_ours.jpg,00893a6c4e1b71da8f3aad434d21a19a44cbfa0442d2b30c266cadc7bc05be89
block_04,block,assets/block_04_source.jpg,8e53b2dd5bde52ae1d114648876787fe0b9abdfa56815f44b38c019f457f0a3a,assets/block_04_input.jpg,8e53b2dd5bde52ae1d114648876787fe0b9abdfa56815f44b38c019f457f0a3a,assets/block_04_output.jpg,84f9e9d83d04de759d9210c31d8f4f9e45d487b0c01981b35463380823f46c5c,assets/block_04_ours.jpg,27e91f8d199a9199b33f6931a13107bdf40ffb0debe9bdb05d27631170fc81b7
block_05,block,assets/block_05_source.jpg,b0a9aa9254f5ab248a2f29853b188f4c19a20d377eac8274c880044777c4971e,assets/block_05_input.jpg,b0a9aa9254f5ab248a2f29853b188f4c19a20d377eac8274c880044777c4971e,assets/block_05_output.jpg,0e18ef4c36756eacf546c490c4817bb9dc3cdb8f8a0d780d67940e6dbb90e9ca,assets/block_05_ours.jpg,50fbdd8b33c1ec935b6959379663b6ef63ec9bf96f885686859db28fa3248241
block_06,block,assets/block_06_source.jpg,c13516b6d0c73ca1a6c8a62a5b77c5941f11e84a36525767b37a216349af79a6,assets/block_06_input.jpg,c13516b6d0c73ca1a6c8a62a5b77c5941f11e84a36525767b37a216349af79a6,assets/block_06_output.jpg,02182a3720545febdb54f2988e9b8c631ff49bbf7aa8617cc217a389443867a1,assets/block_06_ours.jpg,e73b36d5e0b2ff121bcc14cc0e88ea854c07fe568165803ead865ccf47ab41f5
block_07,block,assets/block_07_source.jpg,05a8d688d9ce9204daaa5a517b62553688b1a6d3b5f65ed8f8d0bab9b17277ed,assets/block_07_input.jpg,05a8d688d9ce9204daaa5a517b62553688b1a6d3b5f65ed8f8d0bab9b17277ed,assets/block_07_output.jpg,fe812628860be4a867d76c1e3454ab48a3e9c75d478457e822ef1d5f7d13fca3,assets/block_07_ours.jpg,fcfa61d0eed801998e4ac888fb6577ec9c43846b34cea5670ddb3e60ae6319e9
block_08,block,assets/block_08_source.jpg,912f27c9ee4ab8c5fb5230ee8d8eb59c43d52cf4eb4d5a2e33f950f06ec19b4c,assets/block_08_input.jpg,912f27c9ee4ab8c5fb5230ee8d8eb59c43d52cf4eb4d5a2e33f950f06ec19b4c,assets/block_08_output.jpg,cf8d9f707e0ac80bc7802957dee70b9d81a40c15a87108623b9fcd70f8ddd7a4,assets/block_08_ours.jpg,f91a1cb31a2145c45e9ce9006d2a85253b697035b59f9176e70caa95a4e90e7a
block_09,block,assets/block_09_source.jpg,0c3650d4386c0d56d9b1f1f9e003970675b1e804c081d26d544903f90dff4b99,assets/block_09_input.jpg,4e5ddc4e5d0406322e483e887c1495f95810c1ff588eb244c25f0e87c95fe9b3,assets/block_09_output.jpg,c41ecc5abff1e92b7d30fc13a1712bb9b78b54a6cc16195dd375aa25fe11d886,assets/block_09_ours.jpg,034475cb4f8ea8ca709e21a8182205de1075773e210178fddfc8e4165498dc27
block_10,block,assets/block_10_source.jpg,c04570e40b2fbc0100abaf6d94e18ae718745ea3c8ab9c6a743b1216a11846c1,assets/block_10_input.jpg,c04570e40b2fbc0100abaf6d94e18ae718745ea3c8ab9c6a743b1216a11846c1,assets/block_10_output.jpg,20738ba3e4580e151538a31c55c80f3f9302ceb3246fb493cca9d50d931c9275,assets/block_10_ours.jpg,2c3335d8d5ce3ec03a81113b2b21d23407f7d227b118672a14b48194b091f9b7
block_11,block,assets/block_11_source.jpg,81d697690c5b4bf5560e57b0da1c305914829708bb6ae122fe9a73e6e02e8c23,assets/block_11_input.jpg,cd06610891a600f4df6cfe267571383ed30c695c6d500f92285743abe95738ae,assets/block_11_output.jpg,2e5facaaeb17f507ad18535ec841791715514e4d0138cf5aa55cd01cffb9a4e8,assets/block_11_ours.jpg,27a42ec702dc2ae51b13f8eec389da8c7539d367858af1138c50eccdbd04c871
